Position,Handicap,Penalty,Division,BoatType,Category,Name,Club,Number,VetClass,Gender,BoatNumber,1000m,End,Raw Time,Total
184,"0","0","2","4+","Stu First Boat","Kumari-Webster","Barts & RLH","1",,"Female","1",0:05:13.4,0:12:15.7,0:12:15.7,0:12:15.7
185,"0","0","5","4x+","BR J15","SMA-CHIN","St Mary's School","531",,"Female","531",0:05:13.6,0:12:17.0,0:12:17.0,0:12:17.0
186,"0","0","4","4+","Stu Lower Boat","Homerton W2","Homerton College","442",,"Female","442",0:05:06.9,0:12:17.2,0:12:17.2,0:12:17.2
187,"0","0","5","8+","Stu Beg","KCL NOV M8+","Kings College London","536",,"Male","536",0:05:17.1,0:12:22.8,0:12:22.8,0:12:22.8
188,"0","0","5","4+","CRA Club A","Hills Boys 3","Cantabrigian","527",,"Male","527",0:05:17.1,0:12:29.8,0:12:29.8,0:12:29.8
189,"0","0","4","8+","Stu Lower Boat","Kersey","Barts & RLH","4",,"Female","4",0:05:07.3,0:12:30.1,0:12:30.1,0:12:30.1
190,"0","0","1","4x+","CRA J16","J16 Cquad","City of Cambridge","131",,"Male","131",0:05:23.0,0:12:36.1,0:12:36.1,0:12:36.1
191,"0","0","3","4+","Inv Alumni","SW TANNER","Royal Vet College","238",,"Female","238",0:05:18.1,0:12:43.2,0:12:43.2,0:12:43.2
192,"0","0","3","4x+","BR J15","STO-COUSINS-2","Stowe Sculling Club","330",,"Male","330",0:05:20.3,0:12:46.3,0:12:46.3,0:12:46.3
193,"0","0","5","4+","CRA Club B","Hills Girls 2","Cantabrigian","533",,"Female","533",0:05:28.7,0:12:49.3,0:12:49.3,0:12:49.3
194,"0","0","5","4x","BR Senior","STO-YAN","Stowe Sculling Club","529",,"Female","529",0:05:34.1,0:12:50.7,0:12:50.7,0:12:50.7
195,"0","0","4","4+","Inv Alumni","Alum 4","Worcester College","439",,"Female","439",0:05:25.9,0:12:52.7,0:12:52.7,0:12:52.7
196,"46","0","2","8+","CRA Master","Crew A","Champion of the Thames","223","E","Female","223",0:05:41.7,0:13:42.0,0:13:42.0,0:12:56.0
197,"18","0","1","4+","CRA Master","RCRM","City of Cambridge","146","C","Female","146",0:05:31.6,0:13:14.9,0:13:14.9,0:12:56.9
198,"0","0","3","8+","Stu Lower Boat","FaT W2","First and Third Trinity","320",,"Female","320",0:05:41.3,0:13:02.5,0:13:02.5,0:13:02.5
199,"0","0","4","4x+","BR J15","SMA-WOOD","St Mary's School","434",,"Female","434",0:05:26.9,0:13:08.2,0:13:08.2,0:13:08.2
200,"32","0","3","8+","CRA Master","Master","Cambridge 99","326","D","Female","326",0:05:43.6,0:13:40.7,0:13:40.7,0:13:08.7
201,"0","0","3","4x+","CRA J15","WJ15 girls","Rob Roy","342",,"Female","342",0:05:29.1,0:13:15.7,0:13:15.7,0:13:15.7
202,"0","0","3","8+","BR J18","STO-HAVARD","Stowe Sculling Club","319",,"Female","319",0:05:50.7,0:13:21.0,0:13:21.0,0:13:21.0
203,"0","0","3","8+","Stu Beg","SGHBC MN8","St George's Hospital","347",,"Male","347",0:05:31.8,0:13:22.4,0:13:22.4,0:13:22.4
204,"0","0","2","4x+","CRA J15","J15 Cquad","City of Cambridge","234",,"Female","234",0:05:32.7,0:13:24.1,0:13:24.1,0:13:24.1
205,"0","0","3","4x+","CRA Novice","Nov girls","Rob Roy","339",,"Female","339",0:05:33.2,0:13:25.3,0:13:25.3,0:13:25.3
206,"0","0","2","8+","Stu Beg","NM1","RUMS","242",,"Male","242",0:05:56.2,0:13:32.4,0:13:32.4,0:13:32.4
207,"0","0","2","8+","Stu Beg","Vincent-Ratti","Barts & RLH","2",,"Female","2",0:05:36.2,0:13:34.3,0:13:34.3,0:13:34.3
208,"0","0","2","8+","Stu Beg","Fitzwilliam NW1","Fitzwilliam College","243",,"Female","243",0:05:46.4,0:13:40.0,0:13:40.0,0:13:40.0
209,"0","0","3","8+","Stu Lower Boat","W3","RUMS","424",,"Female","424",0:05:11.2,0:13:41.2,0:13:41.2,0:13:41.2
210,"0","0","4","4+","Stu Lower Boat","St Catharine's W4+","St Catharine's College","443",,"Female","443",0:05:45.4,0:13:41.6,0:13:41.6,0:13:41.6
211,"0","0","1","4+","CRA Novice","Progression","Cantabrigian","145",,"Female","145",0:05:40.4,0:13:43.4,0:13:43.4,0:13:43.4
212,"0","0","5","8+","Stu Beg","NW1","Corpus Christi","538",,"Female","538",0:05:46.4,0:13:59.7,0:13:59.7,0:13:59.7
213,"0","0","2","8+","CRA Novice","Novs","City of Cambridge","213",,"Male","213",0:06:33.5,0:14:08.5,0:14:08.5,0:14:08.5
214,"0","0","3","4x+","BR J15","STO-GRIMBLE","Stowe Sculling Club","331",,"Male","331",0:05:57.8,0:14:20.4,0:14:20.4,0:14:20.4
215,"0","0","5","4x+","BR Senior","STO-PEREZ QUANE","Stowe Sculling Club","530",,"Female","530",0:06:14.5,0:14:27.1,0:14:27.1,0:14:27.1
216,"0","0","2","8+","Stu Beg","KCL Nov Women","Kings College London","245",,"Female","245",0:06:04.2,0:14:33.4,0:14:33.4,0:14:33.4
217,"0","0","5","8+","Stu Beg","NW","RUMS","539",,"Female","539",0:06:48.6,0:14:48.2,0:14:48.2,0:14:48.2
218,"0","0","2","8+","Stu Beg","SGHBC WN8","St George's Hospital","246",,"Female","246",0:06:41.5,0:15:13.4,0:15:13.4,0:15:13.4
219,"0","0","4","8+","Stu Beg","Perkins","Barts & RLH","5",,"Male","5",0:05:14.6,0:15:32.1,0:15:32.1,0:15:32.1
220,"0","0","1","8+","CRA Club A","Lover taker","City of Cambridge","104",,"Male","104",0:00:00.0,0:00:00.0,0:00:00.0,0:00:00.0
221,"0","0","4","4+","Stu First Boat","CAIUS A","Caius","428",,"Male","428",0:00:00.0,0:00:00.0,0:00:00.0,0:00:00.0
222,"18","0","4","4+","CRA Master","Keen Beans","City of Cambridge","444","C","Female","444",0:00:00.0,0:00:00.0,0:00:00.0,0:00:00.0
223,"0","0","4","8+","Stu Beg","NM2","RUMS","445",,"Male","445",0:00:00.0,0:00:00.0,0:00:00.0,0:00:00.0
